#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
227,Hurston Waldrep,ATL,5,5,0,13,13,70,8,3.93,1.02,0.298,71.40%,,4.29,4.26,0.7
228,Brandon Sproat,MIL,4,4,0,28,10,69,7.73,3.37,1.06,0.288,70.70%,,4.2,4.26,0.7
229,Luis Gil,NYY,5,6,0,51,11,99,9.19,4.29,1.29,0.277,71.50%,,4.4,4.51,0.7
230,Germán Márquez,SDP,7,10,0,33,23,128,6.67,3.09,1.41,0.299,68.70%,,5,4.83,0.6
231,Dylan Lee,ATL,3,3,1,65,0,65,10.12,2.68,1.25,0.291,76.40%,,3.55,3.63,0.6
232,Corbin Burnes,ARI,3,2,0,6,6,39,8.64,2.8,0.92,0.292,74.00%,,3.51,3.59,0.6
233,Gregory Soto,PIT,3,3,4,61,0,61,9.76,3.76,0.75,0.301,72.10%,,3.69,3.56,0.6
234,Jordan Leasure,CHW,4,4,5,64,0,64,10.21,4.07,1.26,0.285,72.90%,,4.16,4.15,0.6
235,Richard Fitts,STL,6,7,0,35,19,115,6.79,2.71,1.27,0.291,70.80%,,4.41,4.49,0.6
236,Hunter Dobbins,STL,5,6,0,37,15,100,6.39,2.9,1.17,0.291,70.20%,,4.45,4.51,0.6
237,Mark Leiter Jr.,ATH,5,4,6,64,0,64,9.64,3.63,1.08,0.298,72.60%,,3.99,3.97,0.6
238,Luis Medina,ATH,5,5,0,45,11,92,7.98,4.04,1.1,0.293,69.60%,,4.58,4.5,0.6
