All Utility Players 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Brendan Rodgers 2B | HOU,4,.312,21,20,0,651
Runtime Terror,Mark Vientos 3B | NYM,9,.253,19,22,1,652
W ,Jacob Young OF | WAS,0,.322,9,12,13,653
W ,Anthony Rendon 3B | LAA ,2,.361,23,22,2,654
W ,Kole Calhoun 1B | CLE,6,.282,18,25,0,661
W ,Victor Robles OF | SEA,0,.385,15,8,8,662
W ,Francisco Mejia C | TB ,5,.258,22,19,0,667
W ,Luis Matos OF | SF,2,.319,24,14,3,672
W ,Rodolfo Castro 2B | PHI ,6,.297,21,24,1,674
W ,Aledmys Diaz SS | HOU,4,.280,25,24,1,675
W ,Jose Azocar OF | ATL,2,.278,16,9,8,676
W ,Jake Cave OF | COL,5,.272,18,21,3,677
W ,Richard Palacios OF | TB,6,.307,9,16,2,679
W ,Billy McKinney OF | TEX ,6,.320,19,14,1,680
W ,Tucupita Marcano SS | SD,3,.277,16,18,5,685
W ,Carlos Perez C | CHC ,6,.293,17,20,0,688
W ,Zach Remillard 2B | CHW ,1,.295,16,18,4,690
W ,Kolten Wong 2B | BAL ,4,.256,25,27,3,691
W ,Sam Haggerty OF | TEX ,1,.364,13,5,10,692
Long Balls,Trevor Story SS | BOS ,3,.250,12,14,10,693
W ,Eric Haase C | MIL,4,.247,22,26,4,700
W ,Rougned Odor 2B | SD ,4,.299,21,18,2,703
Big Sticks,Wilyer Abreu OF | BOS ,2,.388,10,14,3,704
W ,Nick Martini DH | COL ,6,.329,10,16,0,706
W ,Riley Adams C | WAS ,4,.331,8,21,0,710
W ,Andrew Velazquez SS | NYY ,2,.264,12,3,13,711
W ,"Miguel Andujar 3B,OF | CIN",4,.300,9,18,2,713
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",6,.304,29,15,1,714
W ,Willie Calhoun DH | LAA ,5,.309,16,16,0,716
W ,Rene Pinto C | TB,6,.267,10,16,0,722
W ,Matt Carpenter DH | STL,5,.322,18,31,1,723
Gashouse Gang,"Romy Gonzalez 1B,2B | BOS",3,.208,11,14,7,725
W ,Yu Chang SS | TB ,6,.200,12,18,4,726
W ,Ronny Mauricio 3B | NYM,2,.296,11,9,7,727
W ,Matthew Batten 1B | ATL ,2,.355,19,11,2,728
W ,Cade Marlowe OF | SEA ,3,.330,14,11,4,729
W ,Reese McGuire C | CHC ,1,.310,15,16,2,730
W ,Miguel Amaya C | CHC,5,.329,17,18,0,732
W ,David Fry DH | CLE ,4,.319,12,15,2,734
W ,Jake Alu OF | WAS ,2,.282,14,16,5,736
W ,Jonathan Davis OF | MIA ,2,.307,22,10,1,738
W ,Jason Delay C | ATL ,1,.319,20,18,0,741
W ,Matt Duffy 3B | TEX,2,.306,17,16,1,747
W ,Endy Rodriguez 1B | PIT ,3,.284,27,13,0,750
W ,Chad Wallach C | LAA,7,.259,18,15,0,751
W ,Sam Hilliard OF | COL ,3,.295,15,6,4,754
W ,Jose Barrero OF | STL,2,.295,15,17,3,762
W ,Dominic Fletcher OF | CHW,2,.350,10,14,0,768
W ,Rafael Ortega OF | NYM ,1,.341,16,8,6,771
W ,Tim Locastro OF | SD ,2,.339,13,3,6,773
W ,Nick Ahmed SS | TEX,2,.257,14,17,5,777
W ,Seby Zavala C | BOS,7,.230,17,18,1,780
