All Outfielders 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Quinn Brodey OF | NYM ,0,.000,0,0,0,9999
W ,Starling Heredia OF | LAD ,0,.000,0,0,0,9999
W ,Jordan Brewer OF | HOU ,0,.000,0,0,0,9999
W ,Malique Ziegler OF | MIN ,0,.000,0,0,0,9999
W ,Justin Dean OF | SF ,0,.000,0,0,0,9999
W ,Abdias De La Cruz OF | ARI ,0,.000,0,0,0,9999
W ,Jaison Chourio OF | CLE ,0,.000,0,0,0,9999
W ,Brandon Jacobs OF | ARI ,0,.000,0,0,0,9999
W ,Brady Shoemaker OF | MIA ,0,.000,0,0,0,9999
W ,Eric Jenkins OF | TEX ,0,.000,0,0,0,9999
W ,Alexander Benua OF | ARI ,0,.000,0,0,0,9999
W ,Maykel Coret OF | TB ,0,.000,0,0,0,9999
W ,Jonathan Machado OF | STL ,0,.000,0,0,0,9999
W ,Brock Jones OF | TB ,0,.000,0,0,0,9999
W ,Felix Valerio OF | MIL ,0,.000,0,0,0,9999
W ,Corbin Williams OF | PHI ,0,.000,0,0,0,9999
W ,Edwin Mateo OF | LAD ,0,.000,0,0,0,9999
W ,Robbie Podorsky OF | SD ,0,.000,0,0,0,9999
W ,Hudson Head OF | PIT ,0,.000,0,0,0,9999
W ,Micah Pries OF | CLE,0,.000,0,0,0,9999
W ,D.J. Wilson OF | CHC ,0,.000,0,0,0,9999
W ,Jorge Ruiz OF | LAA ,0,.000,0,0,0,9999
W ,Matt Koperniak OF | STL ,0,.000,0,0,0,9999
W ,Eduardo Diaz OF | ARI ,0,.000,0,0,0,9999
W ,Kevin Kilpatrick OF | ATL ,0,.000,0,0,0,9999
W ,Garrett Hiott OF | TB ,0,.000,0,0,0,9999
W ,Daz Cameron OF | MIL ,0,.000,0,0,0,9999
W ,Connor Marabell OF | CLE ,0,.000,0,0,0,9999
W ,Cristopher Barete OF | TB ,0,.000,0,0,0,9999
W ,Jiandido Tromp OF | PHI ,0,.000,0,0,0,9999
W ,Brendon Sanger OF | LAA ,0,.000,0,0,0,9999
W ,Robby Martin OF | COL ,0,.000,0,0,0,9999
W ,Guillermo Pimentel OF | SEA ,0,.000,0,0,0,9999
W ,Jayden Jobert OF | STL ,0,.000,0,0,0,9999
W ,Elvis Rubio OF | DET ,0,.000,0,0,0,9999
W ,Robert Gonzalez OF | ATL ,0,.000,0,0,0,9999
W ,Kole Enright OF | TEX ,0,.000,0,0,0,9999
W ,Bryson Myles OF | CLE ,0,.000,0,0,0,9999
W ,Wuilfredo Antunez OF | CLE,0,.000,0,0,0,9999
