All First Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Wladimir Galindo 1B | CHC ,0,.000,0,0,0,9999
W ,Ryan Clifford 1B | NYM ,0,.000,0,0,0,9999
W ,Andy Yerzy 1B | CIN ,0,.000,0,0,0,9999
W ,Rainer Nunez 1B | TOR ,0,.000,0,0,0,9999
W ,Conrad Gregor 1B | BOS ,0,.000,0,0,0,9999
W ,Josiah Sightler 1B | PIT ,0,.000,0,0,0,9999
W ,TT Bowens 1B | BAL ,0,.000,0,0,0,9999
W ,Gabe Snyder 1B | MIN ,0,.000,0,0,0,9999
W ,Chase Strumpf 1B | CHC ,0,.000,0,0,0,9999
W ,Tanner Thach 1B | COL ,0,.000,0,0,0,9999
W ,Jacson McGowan 1B | TB ,0,.000,0,0,0,9999
W ,Daniel Palka 1B | BOS ,0,.000,0,0,0,9999
W ,Joe Suozzi 1B | NYM ,0,.000,0,0,0,9999
W ,Troy Sieber 1B | HOU ,0,.000,0,0,0,9999
W ,"Tim Tawa 1B,2B,OF | ARI",0,.000,0,0,0,9999
W ,Quincy Nieporte 1B | DET ,0,.000,0,0,0,9999
W ,Freddvil Chevez 1B | TB ,0,.000,0,0,0,9999
W ,Carter Graham 1B | CIN ,0,.000,0,0,0,9999
W ,Quinton Low 1B | MIL ,0,.000,0,0,0,9999
W ,Callan Moss 1B | PIT ,0,.000,0,0,0,9999
W ,Cameron Seitzer 1B | TB ,0,.000,0,0,0,9999
W ,Mahki Backstrom 1B | ATL ,0,.000,0,0,0,9999
W ,Jantzen Witte 1B | SD ,0,.000,0,0,0,9999
W ,Aidan Longwell 1B | COL ,0,.000,0,0,0,9999
W ,Carson Taylor 1B | PHI ,0,.000,0,0,0,9999
W ,Jose Ruiz 1B | TEX ,0,.000,0,0,0,9999
W ,Lucas Tancas 1B | PIT ,0,.000,0,0,0,9999
W ,Ryan Casteel 1B | ATL ,0,.000,0,0,0,9999
W ,Damiano Palmegiani 1B | TOR ,0,.000,0,0,0,9999
W ,Rickardo Perez 1B | PHI ,0,.000,0,0,0,9999
W ,Haydn McGeary 1B | CHC,0,.000,0,0,0,9999
W ,Chris DeVito 1B | KC ,0,.000,0,0,0,9999
W ,Landon Stephens 1B | ATL ,0,.000,0,0,0,9999
W ,Ramon Hernandez 1B | ARI ,0,.000,0,0,0,9999
W ,Chad Christensen 1B | MIN ,0,.000,0,0,0,9999
W ,Matt Winaker 1B | NYM ,0,.000,0,0,0,9999
W ,"Eric Wagaman 1B,OF | MIA",0,.000,0,0,0,9999
W ,Luis Tejada 1B | LAA ,0,.000,0,0,0,9999
W ,Griffin Lockwood-Powell 1B | LAD ,0,.000,0,0,0,9999
W ,Felix Stevens 1B | CHC ,0,.000,0,0,0,9999
W ,Cole Stobbe 1B | PHI ,0,.000,0,0,0,9999
W ,Mike Boeve 1B | MIL ,0,.000,0,0,0,9999
W ,Roberto Ramos 1B | BOS ,0,.000,0,0,0,9999
W ,Justin Yurchak 1B | LAD,0,.000,0,0,0,9999
W ,Cal Towey 1B | LAA ,0,.000,0,0,0,9999
W ,Cole Zabowski 1B | COL ,0,.000,0,0,0,9999
W ,Nick Longhi 1B | COL ,0,.000,0,0,0,9999
W ,J.D. Mundy 1B | BAL ,0,.000,0,0,0,9999
W ,Nick Patten 1B | PIT ,0,.000,0,0,0,9999
W ,Erick Meza 1B | LAD ,0,.000,0,0,0,9999
W ,Justin Seager 1B | SEA ,0,.000,0,0,0,9999
W ,Jayce Boyd 1B | NYM ,0,.000,0,0,0,9999
W ,Blaze Jordan 1B | STL ,0,.000,0,0,0,9999
W ,Jaquez Williams 1B | SD ,0,.000,0,0,0,9999
W ,Brandt Stallings 1B | CIN ,0,.000,0,0,0,9999
W ,Wes Kath 1B | CHW ,0,.000,0,0,0,9999
W ,Drew Lugbauer 1B | ATH ,0,.000,0,0,0,9999
W ,Matt Gorski 1B | PIT ,0,.000,0,0,0,9999
W ,Victor Bericoto 1B | SF,0,.000,0,0,0,9999
W ,Cam Collier 1B | CIN ,0,.000,0,0,0,9999
W ,Matt Rose 1B | CHW ,0,.000,0,0,0,9999
W ,Evan Edwards 1B | TB ,0,.000,0,0,0,9999
W ,Balbino Fuenmayor 1B | ATL ,0,.000,0,0,0,9999
Report Updated as of  12/19/25  2:01 PM EST
