All Second Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Brice Turang 2B | MIL,18,.359,97,81,24,26
W ,Alberto Triunfel 2B | LAA ,0,.000,0,0,0,9999
W ,Luis Ravelo 2B | BOS ,0,.000,0,0,0,9999
W ,Franklin Barreto 2B | BAL ,0,.000,0,0,0,9999
W ,Kyle Dernedde 2B | CLE ,0,.000,0,0,0,9999
W ,Raul Rivas 2B | PHI ,0,.000,0,0,0,9999
W ,Joe Sever 2B | CLE ,0,.000,0,0,0,9999
W ,Osmy Gregorio 2B | LAA ,0,.000,0,0,0,9999
W ,Diego Velasquez 2B | SF ,0,.000,0,0,0,9999
W ,Fraymi De Leon 2B | BOS ,0,.000,0,0,0,9999
W ,Daniel Paolini 2B | SEA ,0,.000,0,0,0,9999
W ,Erik Forgione 2B | PIT ,0,.000,0,0,0,9999
W ,Nate Furman 2B | SF ,0,.000,0,0,0,9999
W ,Dilson Herrera 2B | CIN ,0,.000,0,0,0,9999
W ,Avery Romero 2B | MIA ,0,.000,0,0,0,9999
