All First Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,38,.347,87,126,1,21
W ,Roberto Ramos 1B | BOS ,0,.000,0,0,0,9999
W ,Danny Hayes 1B | CHW ,0,.000,0,0,0,9999
W ,Cesar Idrogo 1B | CLE ,0,.000,0,0,0,9999
W ,Dariel Gomez 1B | NYM ,0,.000,0,0,0,9999
W ,Jonathon Long 1B | CHC ,0,.000,0,0,0,9999
W ,Trey Mancini 1B | ARI ,0,.000,0,0,0,9999
W ,Gerald Bautista 1B | CLE ,0,.000,0,0,0,9999
W ,Victor Bericoto 1B | SF,0,.000,0,0,0,9999
W ,Jay Beshears 1B | MIA ,0,.000,0,0,0,9999
W ,Eric Jagielo 1B | MIA ,0,.000,0,0,0,9999
W ,Troy Sieber 1B | HOU ,0,.000,0,0,0,9999
W ,Griffin Lockwood-Powell 1B | LAD ,0,.000,0,0,0,9999
W ,Leandro Cedeno 1B | ARI ,0,.000,0,0,0,9999
W ,Rudy Flores 1B | ARI ,0,.000,0,0,0,9999
W ,Xavier Isaac 1B | TB ,0,.000,0,0,0,9999
W ,Sonny DiChiara 1B | LAA ,0,.000,0,0,0,9999
W ,Tyler Alamo 1B | CHC ,0,.000,0,0,0,9999
W ,Dalton Kelly 1B | MIN ,0,.000,0,0,0,9999
W ,K.C. Hobson 1B | SF ,0,.000,0,0,0,9999
W ,Derlin Figueroa 1B | KC ,0,.000,0,0,0,9999
W ,Gabriel Moncada 1B | SEA ,0,.000,0,0,0,9999
W ,Mahki Backstrom 1B | ATL ,0,.000,0,0,0,9999
W ,TJ Rumfield 1B | NYY ,0,.000,0,0,0,9999
W ,Jacob Teter 1B | BAL ,0,.000,0,0,0,9999
W ,Jared Walsh 1B | TEX ,0,.000,0,0,0,9999
W ,Keon Barnum 1B | CHW ,0,.000,0,0,0,9999
W ,Nelson Maldonado 1B | CHC ,0,.000,0,0,0,9999
W ,Brett Squires 1B | KC ,0,.000,0,0,0,9999
W ,Peter Zimmerman 1B | HOU ,0,.000,0,0,0,9999
W ,Bryce Ball 1B | PHI ,0,.000,0,0,0,9999
W ,Sam Brown 1B | WAS ,0,.000,0,0,0,9999
W ,Tre' Morgan 1B | TB ,0,.000,0,0,0,9999
W ,Anthony Miller 1B | ATH ,0,.000,0,0,0,9999
W ,Dexture McCall 1B | HOU ,0,.000,0,0,0,9999
W ,Luis Castro 1B | HOU ,0,.000,0,0,0,9999
W ,Johan Barrios 1B | MIL ,0,.000,0,0,0,9999
W ,Kyle Nevin 1B | LAD ,0,.000,0,0,0,9999
W ,Patrick Leonard 1B | MIL ,0,.000,0,0,0,9999
W ,Nick Longhi 1B | COL ,0,.000,0,0,0,9999
W ,Eric Bitonti 1B | MIL ,0,.000,0,0,0,9999
W ,Ralphy Velazquez 1B | CLE ,0,.000,0,0,0,9999
W ,Tyler Nevin 1B | ATH,0,.000,0,0,0,9999
W ,Ibandel Isabel 1B | CIN ,0,.000,0,0,0,9999
W ,Brandt Stallings 1B | CIN ,0,.000,0,0,0,9999
W ,Imanol Vargas 1B | PIT ,0,.000,0,0,0,9999
W ,Nick Cimillo 1B | PIT ,0,.000,0,0,0,9999
W ,Dan Black 1B | MIA ,0,.000,0,0,0,9999
W ,K.J. Woods 1B | MIA ,0,.000,0,0,0,9999
W ,Mike Boeve 1B | MIL ,0,.000,0,0,0,9999
W ,Kevin Cornelius 1B | CHC ,0,.000,0,0,0,9999
W ,Correlle Prime 1B | COL ,0,.000,0,0,0,9999
W ,Freddvil Chevez 1B | TB ,0,.000,0,0,0,9999
W ,Griffin Benson 1B | ATL ,0,.000,0,0,0,9999
W ,Christian Williams 1B | TOR ,0,.000,0,0,0,9999
W ,Cam Collier 1B | CIN ,0,.000,0,0,0,9999
Report Updated as of  12/18/25  3:24 PM EST
