All Catchers 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Mitch Trees C | CIN ,0,.000,0,0,0,9999
W ,Roldani Baldwin C | BOS ,0,.000,0,0,0,9999
W ,Brandon Brosher C | NYM ,0,.000,0,0,0,9999
W ,Ethan Salas C | SD ,0,.000,0,0,0,9999
W ,Francisco Arcia C | WAS ,0,.000,0,0,0,9999
W ,Michael Berglund C | CLE ,0,.000,0,0,0,9999
W ,JJ Schwarz C | ATH ,0,.000,0,0,0,9999
W ,Hayden Dunhurst C | KC ,0,.000,0,0,0,9999
W ,Luca Tresh C | KC ,0,.000,0,0,0,9999
W ,Kevin Torres C | TEX ,0,.000,0,0,0,9999
W ,Alex Burg C | TEX ,0,.000,0,0,0,9999
W ,Victor Mesia C | TOR,0,.000,0,0,0,9999
W ,Cameron Barstad C | MIA,0,.000,0,0,0,9999
W ,Eric Rodriguez C | CLE ,0,.000,0,0,0,9999
W ,Matt Winn C | SF ,0,.000,0,0,0,9999
W ,Jake Romanski C | BOS ,0,.000,0,0,0,9999
W ,Wade Wass C | LAA ,0,.000,0,0,0,9999
W ,Carter Trice C | CHC ,0,.000,0,0,0,9999
W ,Straton Podaras C | LAA ,0,.000,0,0,0,9999
W ,Mayo Acosta C | TB ,0,.000,0,0,0,9999
W ,Max Pentecost C | TOR ,0,.000,0,0,0,9999
W ,Ricardo Olivar C | MIN ,0,.000,0,0,0,9999
W ,Ryan Scott C | SEA ,0,.000,0,0,0,9999
W ,Tim Roberson C | BOS ,0,.000,0,0,0,9999
W ,Chuck Moorman C | ATH ,0,.000,0,0,0,9999
W ,Brett Austin C | SF ,0,.000,0,0,0,9999
W ,Chris Betts C | TB ,0,.000,0,0,0,9999
W ,Luis Cruz C | STL ,0,.000,0,0,0,9999
W ,Jakson Reetz C | NYM ,0,.000,0,0,0,9999
W ,Cooper Johnson C | TEX ,0,.000,0,0,0,9999
W ,Xorge Carrillo C | TB ,0,.000,0,0,0,9999
W ,Nerio Rodriguez C | HOU ,0,.000,0,0,0,9999
W ,Colby Fitch C | PHI ,0,.000,0,0,0,9999
W ,Nick Raposo C | SEA ,0,.000,0,0,0,9999
W ,Samuel Miranda C | BOS ,0,.000,0,0,0,9999
W ,Michael Miller C | SD ,0,.000,0,0,0,9999
W ,Ivan Murzi C | WAS ,0,.000,0,0,0,9999
W ,Kenny Piper C | TB ,0,.000,0,0,0,9999
W ,Oscar Campos C | NYM ,0,.000,0,0,0,9999
W ,Xavier Fernandez C | CHW ,0,.000,0,0,0,9999
W ,Stephen McGee C | SD ,0,.000,0,0,0,9999
W ,Calvin Harris C | CHW ,0,.000,0,0,0,9999
W ,Geraldi Diaz C | WAS ,0,.000,0,0,0,9999
W ,Luis Flores C | HOU ,0,.000,0,0,0,9999
W ,Logan Driscoll C | TB ,0,.000,0,0,0,9999
W ,Francisco Diaz C | NYY ,0,.000,0,0,0,9999
W ,Caleb Knight C | CHC ,0,.000,0,0,0,9999
W ,Curt Casali C | ATL ,0,.000,0,0,0,9999
W ,Rodrigo Vigil C | MIA ,0,.000,0,0,0,9999
W ,Andrew Cossetti C | MIN ,0,.000,0,0,0,9999
W ,Ethan Anderson C | BAL ,0,.000,0,0,0,9999
W ,Ryan Haug C | PIT ,0,.000,0,0,0,9999
W ,Parker Berberet C | MIL ,0,.000,0,0,0,9999
W ,Tim Remes C | DET ,0,.000,0,0,0,9999
W ,Trent Woodward C | HOU ,0,.000,0,0,0,9999
W ,Jacob Cozart C | CLE ,0,.000,0,0,0,9999
W ,Shane Zeile C | DET ,0,.000,0,0,0,9999
W ,Logan Ice C | CLE ,0,.000,0,0,0,9999
W ,Miguel Palma C | HOU,0,.000,0,0,0,9999
W ,Arvicent Perez C | DET ,0,.000,0,0,0,9999
W ,Anthony Mulrine C | LAA ,0,.000,0,0,0,9999
W ,Matt Kennelly C | ATL ,0,.000,0,0,0,9999
W ,Gabriel Bracamonte C | HOU ,0,.000,0,0,0,9999
W ,Reynaldo Rodriguez C | MIN ,0,.000,0,0,0,9999
W ,Michael Cantu C | SD ,0,.000,0,0,0,9999
