#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
321,Gabriel Hughes,COL,4,6,0,33,11,86.2,6.39,3.23,1.37,0.316,68.60%,46.70%,5.23,4.9,0.4
322,Wade Miley,,3,4,0,11,11,63.1,6.08,3.09,1.22,0.3,71.10%,45.20%,4.58,4.71,0.4
323,Robert Stephenson,LAA,3,3,16,60,0,60,9.96,3.11,1.29,0.288,74.40%,34.50%,3.92,3.93,0.4
324,Mitch Bratt,ARI,3,3,0,8,8,46.1,7.3,2.54,1.31,0.297,71.40%,39.00%,4.38,4.37,0.4
325,Matt Waldron,SDP,5,6,0,16,16,91,6.88,2.8,1.46,0.29,70.40%,39.40%,4.72,4.8,0.4
326,Mitchell Parker,WSN,4,5,0,48,6,77.1,7.15,2.8,1.31,0.293,72.30%,38.40%,4.35,4.46,0.4
327,Justin Wrobleski,LAD,3,3,0,47,3,62.1,8.21,3.09,1.21,0.293,73.80%,44.30%,3.99,4.21,0.4
328,Dietrich Enns,BAL,3,3,0,62,0,62,8.09,2.67,1.15,0.3,73.70%,43.70%,3.91,4,0.4
329,Taijuan Walker,PHI,6,8,0,50,16,121.1,6.47,3.12,1.48,0.294,71.20%,41.80%,4.81,4.99,0.4
330,Kody Funderburk,MIN,3,3,10,65,0,65,8.62,3.68,0.84,0.304,73.80%,50.00%,3.68,3.82,0.4
331,David Robertson,,2,2,0,42,0,42,10.35,3.58,0.97,0.294,75.00%,42.80%,3.53,3.56,0.4
332,Julian Fernández,WSN,3,3,0,58,0,58,9.25,3.24,1.08,0.29,74.30%,40.60%,3.72,3.83,0.4
333,Jason Adam,SDP,2,2,0,46,0,46,9.86,3.32,1.03,0.287,73.80%,40.60%,3.65,3.71,0.4
334,Yennier Cano,BAL,3,2,0,52,0,52,8.51,3.33,0.89,0.307,73.50%,51.90%,3.72,3.76,0.4
335,Steven Okert,HOU,3,3,0,64,0,64,10.04,3.47,1.33,0.281,74.60%,31.10%,3.98,4.13,0.3
336,Brady Basso,ATH,3,3,1,56,0,56,8.3,2.85,1.11,0.295,74.00%,43.10%,3.8,3.95,0.3
337,Luke Weaver,,3,3,0,67,0,67,9.42,2.82,1.25,0.29,74.60%,35.50%,3.83,3.9,0.3
338,Kyle Hart,SDP,5,6,0,37,13,95.1,7.27,3.23,1.31,0.293,72.10%,41.50%,4.45,4.62,0.3
339,Riley O'Brien,STL,3,3,17,63,0,63,9.14,3.84,0.79,0.301,74.10%,50.40%,3.55,3.7,0.3
340,Taylor Rogers,,3,3,0,57,0,57,9.34,3.8,1.07,0.293,74.20%,41.70%,3.86,4.02,0.3
341,Jordan Romano,,3,3,0,52,0,52,9.45,3.46,1.16,0.291,73.20%,38.10%,3.98,3.99,0.3
342,Tyler Kinley,,3,3,0,64,0,64,9.58,3.89,1.18,0.287,73.60%,35.20%,4.05,4.12,0.3
343,Danny Coulombe,,2,2,0,48,0,48,8.91,3.29,1.07,0.293,74.30%,41.10%,3.78,3.9,0.3
344,Jovani Morán,BOS,3,2,0,52,0,52,9.53,3.89,0.94,0.301,74.30%,44.80%,3.73,3.77,0.3
345,A.J. Puk,ARI,1,1,6,28,0,28,10.26,3.11,0.96,0.296,74.50%,40.60%,3.48,3.43,0.3
