#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
166,Daylen Lile,WSN,105,455,10,51,53,12,6.70%,17.40%,0.159,0.31,0.271,0.326,0.43,0.327,110,0.7,5.9,-6.9,1.4
167,Bryan Reynolds,PIT,136,606,20,72,74,5,8.60%,24.40%,0.168,0.311,0.254,0.325,0.422,0.325,106,-0.6,3.8,-10,1.4
168,J.T. Realmuto,PHI,98,392,12,43,45,5,6.50%,24.10%,0.154,0.3,0.246,0.304,0.4,0.306,93,-0.5,-3.6,9.6,1.4
169,Spencer Horwitz,PIT,102,430,11,50,46,2,12.00%,18.30%,0.151,0.307,0.264,0.359,0.415,0.34,117,-1.1,7.4,-7.8,1.4
170,Willson Contreras,BOS,105,456,19,58,62,4,9.60%,25.40%,0.198,0.301,0.248,0.338,0.446,0.341,115,-1.2,7,-8.9,1.4
171,Ha-Seong Kim,ATL,89,361,8,41,37,13,10.90%,18.40%,0.13,0.284,0.245,0.332,0.374,0.312,99,0.5,0,1.7,1.4
172,Dylan Crews,WSN,121,515,17,59,63,21,7.20%,21.40%,0.167,0.281,0.243,0.307,0.411,0.312,99,0.9,0.6,-4.2,1.4
173,Jake Burger,TEX,117,493,24,60,71,2,5.70%,24.70%,0.21,0.285,0.248,0.3,0.458,0.325,110,-0.7,4.9,-8.4,1.4
174,Mike Trout,LAA,93,413,19,52,54,3,13.20%,30.70%,0.211,0.299,0.232,0.341,0.443,0.337,116,-1,6.6,-7.5,1.4
175,Heliot Ramos,SFG,123,526,19,62,62,6,7.80%,24.10%,0.172,0.309,0.256,0.323,0.428,0.326,111,-0.7,6.1,-10.3,1.4
176,Christian Yelich,MIL,108,471,16,57,59,12,11.10%,23.90%,0.166,0.316,0.258,0.345,0.424,0.334,115,1.2,9.5,-12,1.4
177,Jared Triolo,PIT,114,450,8,48,43,11,10.80%,23.10%,0.119,0.305,0.241,0.328,0.36,0.306,94,0,-3.4,1.6,1.3
178,Sal Stewart,CIN,98,412,15,50,54,6,8.50%,19.10%,0.181,0.304,0.27,0.337,0.452,0.341,115,-0.2,6.9,-7.5,1.3
179,Harrison Bader,SFG,109,433,12,46,47,12,6.30%,23.70%,0.141,0.305,0.248,0.305,0.389,0.303,96,0.2,-2,0.7,1.3
180,Trevor Story,BOS,99,437,15,53,52,15,6.00%,26.70%,0.167,0.308,0.247,0.298,0.414,0.308,92,1.1,-2.9,0.8,1.3
181,Tommy Edman,LAD,93,377,11,44,44,6,6.50%,17.60%,0.151,0.279,0.25,0.306,0.401,0.308,97,0.4,-0.9,1,1.3
182,Brandon Marsh,PHI,101,412,11,47,47,9,9.90%,28.30%,0.153,0.337,0.252,0.329,0.405,0.321,104,0.4,2.2,-3.4,1.3
183,Brenton Doyle,COL,118,486,16,54,56,17,6.50%,26.50%,0.163,0.307,0.245,0.297,0.408,0.305,81,1.2,-9.6,5.9,1.3
184,Eugenio Suárez,CIN,134,568,33,72,86,3,8.50%,29.50%,0.237,0.277,0.234,0.31,0.471,0.335,110,-2.2,4.7,-11.2,1.3
185,Pedro Pagés,STL,69,270,8,27,29,1,7.00%,25.30%,0.142,0.285,0.231,0.29,0.373,0.289,86,-0.7,-5.2,5.4,1.3
186,Cole Young,SEA,79,300,5,34,29,5,10.20%,17.30%,0.123,0.281,0.242,0.328,0.366,0.308,103,-0.1,1.1,0.9,1.3
187,Willi Castro,COL,115,477,11,52,49,12,7.90%,22.50%,0.146,0.308,0.251,0.326,0.397,0.317,89,0.4,-5.7,2,1.2
188,Ryan O'Hearn,PIT,105,450,13,52,56,3,9.00%,18.30%,0.157,0.307,0.269,0.341,0.426,0.333,112,-1.2,5.1,-8,1.2
189,Sean Murphy,ATL,74,301,12,35,36,1,9.90%,27.20%,0.182,0.267,0.218,0.31,0.4,0.311,98,-0.5,-1.2,2.1,1.2
190,Agustín Ramírez,MIA,97,420,17,51,57,10,7.40%,19.10%,0.192,0.274,0.25,0.312,0.442,0.325,107,-0.3,3.1,-6,1.2
191,Nick Gonzales,PIT,86,351,7,36,38,3,6.50%,20.10%,0.137,0.316,0.263,0.318,0.4,0.313,98,-0.3,-1,1.2,1.2
192,Ryan McMahon,NYY,100,412,14,44,46,3,11.30%,32.20%,0.161,0.287,0.211,0.304,0.372,0.298,91,-0.4,-4.9,2.6,1.2
193,Luis Torrens,NYM,51,202,6,22,22,1,6.70%,22.50%,0.147,0.284,0.239,0.296,0.386,0.298,93,-0.3,-1.9,5.9,1.2
